RetailStore,CustomerID,TransactionID,InvoiceDate,ProductID,Cost
1,1001,1ID10051,1/1/2019,1,144.75
2,1002,2ID10052,1/1/2019,2,97.25
2,1002,2ID10052,1/1/2019,3,47.25
2,1002,2ID10052,1/1/2019,4,197.25
3,1003,3ID10053,1/1/2019,5,216
3,1003,3ID10053,1/1/2019,6,137.25
1,1004,1ID10054,1/1/2019,7,253.25
2,1005,2ID10055,1/1/2019,8,147.25
3,1006,3ID10056,1/1/2019,9,192
3,1006,3ID10056,1/1/2019,10,101
3,1006,3ID10056,1/1/2019,10,101
3,1006,3ID10056,1/1/2019,11,202
3,1006,3ID10056,1/1/2019,12,101
3,1006,3ID10056,1/1/2019,13,242
2,1007,2ID10057,1/1/2019,5,216
2,1008,2ID10058,1/1/2019,14,197.25
2,1008,2ID10058,1/1/2019,15,147.25
2,1009,2ID10059,1/1/2019,16,197.25
2,1009,2ID10059,1/1/2019,17,197.25
2,1010,2ID10060,1/2/2019,18,210.75
2,1010,2ID10060,1/2/2019,5,197.25
2,1010,2ID10060,1/2/2019,19,106
3,1011,3ID10061,1/2/2019,20,252
1,1012,1ID10062,1/2/2019,20,199.75
1,1012,1ID10062,1/2/2019,20,199.75
1,1013,1ID10063,1/2/2019,21,142.25
2,1014,2ID10064,1/2/2019,18,204.5
2,1014,2ID10064,1/2/2019,18,217
2,1014,2ID10064,1/2/2019,22,27.25
2,1015,2ID10065,1/2/2019,20,260.75
2,1015,2ID10065,1/2/2019,4,260.75
2,1015,2ID10065,1/2/2019,2,97.25
1,1016,1ID10066,1/2/2019,23,152.25
1,1016,1ID10066,1/2/2019,15,139.75
1,1016,1ID10066,1/2/2019,15,139.75
1,1016,1ID10066,1/2/2019,24,139.75
1,1017,1ID10067,1/2/2019,4,189.75
1,1018,1ID10068,1/2/2019,25,253.25
1,1018,1ID10068,1/2/2019,26,258.25
1,1019,1ID10069,1/2/2019,1,144.75
1,1019,1ID10069,1/2/2019,25,189.75
1,1019,1ID10069,1/2/2019,25,189.75
2,1020,2ID10070,1/3/2019,25,254.5
2,1021,2ID10071,1/3/2019,25,254.5
2,1021,2ID10071,1/3/2019,9,204.5
2,1022,2ID10072,1/3/2019,25,260.75
3,1023,3ID10073,1/3/2019,9,192
3,1024,3ID10074,1/3/2019,1,197
3,1024,3ID10074,1/3/2019,1,197
3,1024,3ID10074,1/3/2019,1,197
3,1024,3ID10074,1/3/2019,1,197
3,1025,3ID10075,1/3/2019,18,197
3,1025,3ID10075,1/3/2019,18,197
3,1026,3ID10076,1/3/2019,21,142.25
2,1027,2ID10077,1/3/2019,15,147.25
3,1028,3ID10078,1/3/2019,21,197
3,1028,3ID10078,1/3/2019,9,137.25
3,1029,3ID10079,1/3/2019,27,208.25
1,1030,1ID10080,1/3/2019,28,189.75
